,SCH_NAME,de_total_enrollment,LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,COMBOKEY,JJ,SCH_GRADE_PS,SCH_GRADE_KG,SCH_GRADE_G01,SCH_GRADE_G02,SCH_GRADE_G03,SCH_GRADE_G04,SCH_GRADE_G05,SCH_GRADE_G06,SCH_GRADE_G07,SCH_GRADE_G08,SCH_GRADE_G09,SCH_GRADE_G10,SCH_GRADE_G11,SCH_GRADE_G12,SCH_GRADE_UG,SCH_UGDETAIL_HS,SCH_STATUS_SPED,SCH_STATUS_MAGNET,SCH_STATUS_CHARTER,SCH_STATUS_ALT,SCH_ENR_HI_M,SCH_ENR_HI_F,SCH_ENR_AM_M,SCH_ENR_AM_F,SCH_ENR_AS_M,SCH_ENR_AS_F,SCH_ENR_HP_M,SCH_ENR_HP_F,SCH_ENR_BL_M,SCH_ENR_BL_F,SCH_ENR_WH_M,SCH_ENR_WH_F,SCH_ENR_TR_M,SCH_ENR_TR_F,TOT_ENR_M,TOT_ENR_F,SCH_ENR_LEP_M,SCH_ENR_LEP_F,SCH_ENR_IDEA_M,SCH_ENR_IDEA_F,SCH_DUAL_IND,SCH_DUALENR_HI_M,SCH_DUALENR_HI_F,SCH_DUALENR_AM_M,SCH_DUALENR_AM_F,SCH_DUALENR_AS_M,SCH_DUALENR_AS_F,SCH_DUALENR_HP_M,SCH_DUALENR_HP_F,SCH_DUALENR_BL_M,SCH_DUALENR_BL_F,SCH_DUALENR_WH_M,SCH_DUALENR_WH_F,SCH_DUALENR_TR_M,SCH_DUALENR_TR_F,TOT_DUALENR_M,TOT_DUALENR_F,SCH_DUALENR_LEP_M,SCH_DUALENR_LEP_F,SCH_DUALENR_IDEA_M,SCH_DUALENR_IDEA_F,SCH_APENR_IND,SCH_APENR_HI_M,SCH_APENR_HI_F,SCH_APENR_AM_M,SCH_APENR_AM_F,SCH_APENR_AS_M,SCH_APENR_AS_F,SCH_APENR_HP_M,SCH_APENR_HP_F,SCH_APENR_BL_M,SCH_APENR_BL_F,SCH_APENR_WH_M,SCH_APENR_WH_F,SCH_APENR_TR_M,SCH_APENR_TR_F,TOT_APENR_M,TOT_APENR_F,SCH_APENR_LEP_M,SCH_APENR_LEP_F,SCH_APENR_IDEA_M,SCH_APENR_IDEA_F,SCH_IBENR_IND,SCH_IBENR_HI_M,SCH_IBENR_HI_F,SCH_IBENR_AM_M,SCH_IBENR_AM_F,SCH_IBENR_AS_M,SCH_IBENR_AS_F,SCH_IBENR_HP_M,SCH_IBENR_HP_F,SCH_IBENR_BL_M,SCH_IBENR_BL_F,SCH_IBENR_WH_M,SCH_IBENR_WH_F,SCH_IBENR_TR_M,SCH_IBENR_TR_F,TOT_IBENR_M,TOT_IBENR_F,SCH_IBENR_LEP_M,SCH_IBENR_LEP_F,SCH_IBENR_IDEA_M,SCH_IBENR_IDEA_F,combokey,TITLEI,LEAID_nces,LEA_NAME_nces,SCHID_nces,SCH_NAME_nces,SCH_TYPE_TEXT,SCH_TYPE,LEVEL,VIRTUAL,GSLO,GSHI,NMCNTY15,LOCALE15,LAT1516,LON1516,Students_in_11_12
224,VISTA ACADEMY,28,CO,COLORADO,803360,School District No. 1 in the county of Denver and State of C,6514,='080336006514',No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,Yes,101,86,0,2,2,0,0,2,38,35,11,5,5,2,157,132,59,56,16,16,Yes,11,11,0,0,2,0,0,0,0,2,2,0,0,0,15,13,2,2,0,2,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='080336006514',Yes,803360.0,School District No. 1 in the county of Denver and State of C,6514.0,VISTA ACADEMY,Alternative Education School,4.0,4,No,6,12,Denver County,11,39.7857,-104.779911,Yes
225,Holmes Junior High School,28,IA,IOWA,1906510,Cedar Falls Comm School District,224,='190651000224',No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,-9,No,No,No,No,11,8,0,2,11,11,0,2,14,11,233,248,17,14,286,296,0,2,52,31,Yes,0,0,0,0,0,0,0,0,2,0,14,5,5,2,21,7,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='190651000224',Yes,1906510.0,Cedar Falls Comm School District,224.0,Holmes Junior High School,Regular School,1.0,2,No,7,9,Black Hawk County,13,42.533692,-92.471196,No
226,WALLACE JR/SR HIGH SCHOOL,28,ID,IDAHO,1603300,WALLACE DISTRICT,565,='160330000565',No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,Yes,No,No,No,2,2,2,0,0,0,0,0,2,0,119,110,0,0,125,112,0,0,19,7,Yes,0,0,0,0,0,0,0,0,0,0,5,23,0,0,5,23,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='160330000565',Yes,1603300.0,WALLACE DISTRICT,565.0,WALLACE JR/SR HIGH SCHOOL,Regular School,1.0,3,No,7,12,Shoshone County,33,47.473988,-115.927839,Yes
227,Van Buren Regional Technology Ctr,28,ME,MAINE,2311010,RSU 88/MSAD 24,176,='231101000176',No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,-9,No,No,No,No,0,0,0,0,0,0,0,0,0,0,20,8,0,0,20,8,0,0,0,0,Yes,0,0,0,0,0,0,0,0,0,0,20,8,0,0,20,8,0,0,2,2,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='231101000176',No,2311010.0,RSU 88/MSAD 24,176.0,Van Buren Regional Technology Ctr,Vocational Education School,3.0,N,No,N,N,Aroostook County,43,47.160911,-67.941597,Yes
228,Hillcrest at Youth Services Center,28,CA,CALIFORNIA,691033,San Mateo County Office of Education,9248,='069103309248',Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,44,5,0,0,2,0,5,0,2,0,5,2,2,0,60,7,23,2,19,0,Yes,17,2,0,0,0,0,5,0,2,0,2,0,0,0,26,2,0,2,0,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='069103309248',Yes,691033.0,San Mateo County Office of Education,9248.0,Hillcrest at Youth Services Center,Alternative Education School,4.0,4,No,5,12,San Mateo County,21,37.513287,-122.337416,Yes
229,Off Campus,28,WA,WASHINGTON,5301080,Central Kitsap School District,2574,='530108002574',No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,Yes,2,14,5,2,5,2,0,0,0,0,62,65,11,8,85,91,2,2,16,7,Yes,0,0,0,0,0,2,0,0,0,0,14,8,2,2,16,12,0,0,2,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='530108002574',Yes,5301080.0,Central Kitsap School District,2574.0,Off Campus,Alternative Education School,4.0,4,Missing,KG,12,Kitsap County,13,47.646463,-122.697538,Yes
230,Gateway to College-Mott Community College,28,MI,MICHIGAN,2614520,Flint School District of the City of,8443,='261452008443',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,Yes,2,0,0,0,0,0,2,0,2,2,2,14,2,2,10,18,0,0,0,0,Yes,2,0,0,0,0,0,2,0,2,2,2,14,2,2,10,18,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='261452008443',No,2614520.0,Flint School District of the City of,8443.0,Gateway to College-Mott Community College,Alternative Education School,4.0,3,No,9,12,Genesee County,13,43.02036,-83.672831,Yes
231,Sterling Heights Senior H.S.,28,MI,MICHIGAN,2635190,Warren Consolidated Schools,7112,='263519007112',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,11,17,2,2,71,59,2,2,65,92,587,572,14,11,752,755,215,179,91,61,Yes,0,0,0,0,2,2,0,0,2,0,8,14,0,0,12,16,2,2,2,2,Yes,2,2,2,0,20,26,2,0,2,8,98,107,2,2,128,145,2,5,2,2,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='263519007112',No,2635190.0,Warren Consolidated Schools,7112.0,Sterling Heights Senior H.S.,Alternative Education School,4.0,3,No,8,12,Macomb County,21,42.554008,-82.997141,Yes
234,Bishop Hall Charter School,27,GA,GEORGIA,1304890,Thomas County,2342,='130489002342',No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,8,2,0,0,0,2,0,0,32,26,50,65,5,2,95,97,2,0,10,10,Yes,0,2,0,0,0,2,0,0,5,2,5,11,0,0,10,17,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='130489002342',Yes,1304890.0,Thomas County,2342.0,Bishop Hall Charter School,Alternative Education School,4.0,3,No,8,12,Thomas County,32,30.857785,-83.953231,Yes
235,Salinas Community,27,CA,CALIFORNIA,691021,Monterey County Office of Education,10557,='069102110557',No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,Yes,41,35,0,0,0,0,0,0,2,0,5,0,0,0,48,35,41,35,13,7,Yes,17,8,0,0,0,0,0,0,0,0,2,0,0,0,19,8,5,2,2,2,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='069102110557',Yes,691021.0,Monterey County Office of Education,10557.0,Salinas Community,Alternative Education School,4.0,3,No,7,12,Monterey County,12,36.700737,-121.632767,Yes
236,Internet Academy,27,WA,WASHINGTON,5302820,Federal Way School District,2638,='530282002638',No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,11,23,0,2,2,14,0,2,11,11,80,104,8,17,112,173,2,5,0,0,Yes,2,2,0,2,0,2,0,0,2,2,5,8,0,2,9,18,0,2,0,0,Yes,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='530282002638',Yes,5302820.0,Federal Way School District,2638.0,Internet Academy,Alternative Education School,4.0,4,Missing,PK,12,King County,21,47.31929,-122.298831,Yes
237,SOUTHWEST H S,27,TX,TEXAS,4800125,SOUTHWEST SCHOOL,8249,='480012508249',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,122,137,0,0,0,0,0,0,2,5,2,0,0,0,126,142,41,47,10,10,Yes,5,20,0,0,0,0,0,0,0,2,0,0,0,0,5,22,0,2,0,0,Yes,17,29,0,0,0,0,0,0,0,0,0,0,0,0,17,29,0,2,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='480012508249',Yes,4800125.0,SOUTHWEST SCHOOL,8249.0,SOUTHWEST H S,Alternative Education School,4.0,3,Missing,9,12,Harris County,11,29.72035,-95.49582,Yes
238,PERFORMANCE BASED PREPARATORY ACADEMY,27,FL,FLORIDA,1201770,ST. LUCIE,1079,='120177001079',No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,-9,No,No,No,Yes,17,23,0,0,0,2,0,0,62,62,29,20,5,2,113,109,5,5,16,10,Yes,5,2,0,0,0,0,0,0,11,2,5,2,0,0,21,6,0,0,2,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='120177001079',Yes,1201770.0,ST. LUCIE,1079.0,PERFORMANCE BASED PREPARATORY ACADEMY,Alternative Education School,4.0,3,No,9,12,St. Lucie County,21,27.44295,-80.355041,Yes
240,ROCINANTE HIGH,27,NM,NEW MEXICO,3500990,FARMINGTON MUNICIPAL SCHOOLS,740,='350099000740',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,23,29,41,26,0,0,0,0,2,2,26,29,5,0,97,86,11,11,19,4,Yes,2,5,2,2,0,0,0,0,0,0,2,14,0,0,6,21,2,2,2,2,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='350099000740',Yes,3500990.0,FARMINGTON MUNICIPAL SCHOOLS,740.0,ROCINANTE HIGH,Alternative Education School,4.0,3,No,9,12,San Juan County,13,36.759588,-108.163463,Yes
241,DC-G Meadows,26,IA,IOWA,1908520,Dallas Center-Grimes Comm School District,2174,='190852002174',No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,-9,No,No,No,No,2,11,2,0,2,2,0,0,5,2,161,179,2,2,174,196,5,2,16,7,Yes,0,0,0,0,2,0,0,0,2,0,17,5,0,0,21,5,0,0,2,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='190852002174',Yes,1908520.0,Dallas Center-Grimes Comm School District,2174.0,DC-G Meadows,Regular School,1.0,4,No,8,9,Dallas County,41,41.68984,-93.82307,No
242,SC Connections Academy,26,SC,SOUTH CAROLINA,4503901,SC Public Charter School District,1520,='450390101520',No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,80,110,14,14,11,23,2,2,179,224,1280,1553,80,104,1646,2030,2,11,244,133,Yes,0,2,0,0,2,0,0,0,0,0,5,17,0,0,7,19,0,0,0,0,Yes,0,2,0,0,0,2,0,0,2,8,26,86,2,8,30,106,0,0,2,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='450390101520',Yes,4503901.0,SC Public Charter School District,1520.0,SC Connections Academy,Regular School,1.0,4,Yes,KG,12,Richland County,12,34.01469,-81.079211,Yes
244,CENTENNIAL HIGH SCHOOL,26,CO,COLORADO,803990,Poudre School District R-1,517,='080399000517',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,Yes,17,20,2,2,2,0,0,0,2,2,62,44,2,2,87,70,0,0,10,4,Yes,0,5,0,2,2,0,0,0,0,0,8,5,2,2,12,14,0,0,2,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='080399000517',No,803990.0,Poudre School District R-1,517.0,CENTENNIAL HIGH SCHOOL,Alternative Education School,4.0,3,No,9,12,Larimer County,12,40.578965,-105.073671,Yes
245,ECISD FALCON EARLY COLLEGE H S,26,TX,TEXAS,4818000,ECTOR COUNTY ISD,13377,='481800013377',No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,-9,No,No,No,No,11,17,0,0,0,2,0,0,2,2,5,8,0,0,18,29,0,2,0,0,Yes,8,5,0,0,0,2,0,0,2,2,2,5,0,0,12,14,0,2,2,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='481800013377',No,4818000.0,ECTOR COUNTY ISD,13377.0,ECISD FALCON EARLY COLLEGE H S,Regular School,1.0,4,Missing,9,9,Ector County,12,31.884721000000006,-102.320848,No
246,Central High School of Clay County,26,AL,ALABAMA,100750,Clay County,2210,='010075002210',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,20,14,0,2,2,2,0,0,68,71,311,260,2,2,403,351,11,5,70,43,Yes,0,0,0,0,0,0,0,0,2,5,14,5,0,0,16,10,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='010075002210',-9,100750.0,Clay County,2210.0,Future Clay Co High Sch,Regular School,1.0,3,Yes,9,12,Clay County,42,33.290819,-85.787274,Yes
247,Alternative Education Academy,26,OH,OHIO,3900203,Alternative Education Academy,4727,='390020304727',No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,53,41,11,8,5,8,5,5,140,140,539,614,32,29,785,845,5,2,148,142,Yes,0,0,0,0,2,2,0,0,0,0,5,17,0,0,7,19,2,2,2,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='390020304727',Yes,3900203.0,Alternative Education Academy,4727.0,Alternative Education Academy,Regular School,1.0,4,Yes,KG,12,Lucas County,11,41.65864000000001,-83.546304,Yes
248,CA Frost Environmental Science Academy,25,MI,MICHIGAN,2616440,Grand Rapids Public Schools,1634,='261644001634',No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,-9,No,No,No,No,62,65,0,2,2,2,2,0,38,41,194,155,26,29,324,294,17,14,31,16,Yes,2,5,0,0,0,0,0,0,2,5,5,2,2,2,11,14,2,2,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='261644001634',Yes,2616440.0,Grand Rapids Public Schools,1634.0,CA Frost Environmental Science Academy,Regular School,1.0,4,No,PK,12,Kent County,12,42.99175,-85.741387,No
249,MINNESOTA VIRTUAL ACADEMY,25,MN,MINNESOTA,2714280,HOUSTON PUBLIC SCHOOL DISTRICT,3187,='271428003187',No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,32,35,17,20,8,14,0,2,53,47,485,647,17,29,612,794,8,17,112,82,Yes,0,0,0,0,0,2,0,0,2,2,5,14,0,0,7,18,0,0,0,0,Yes,0,2,0,0,0,0,0,0,0,0,11,20,0,2,11,24,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='271428003187',No,2714280.0,HOUSTON PUBLIC SCHOOL DISTRICT,3187.0,MINNESOTA VIRTUAL ACADEMY,Regular School,1.0,4,Yes,KG,12,Houston County,42,43.759527,-91.572178,Yes
250,Baker Web Academy,25,OR,OREGON,4101710,Baker SD 5J,1767,='410171001767',No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,35,44,11,11,8,17,2,2,14,8,326,365,11,11,407,458,5,5,55,31,Yes,2,2,0,0,0,2,2,0,0,0,8,5,2,2,14,11,0,2,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='410171001767',No,4101710.0,Baker SD 5J,1767.0,Baker Web Academy,Regular School,1.0,4,Yes,KG,12,Baker County,33,44.7776,-117.834001,Yes
251,21st Century Cyber CS,25,PA,PENNSYLVANIA,4200091,21st Century Cyber CS,597,='420009100597',No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,14,38,2,2,8,2,2,2,26,38,263,413,14,11,329,506,5,5,55,46,Yes,0,0,0,0,0,0,0,0,0,0,11,14,0,0,11,14,0,0,0,0,Yes,0,0,0,0,0,0,0,0,0,0,8,23,0,0,8,23,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='420009100597',No,4200091.0,21st Century Cyber CS,597.0,21st Century Cyber CS,Regular School,1.0,4,Yes,6,12,Chester County,21,40.0108,-75.704371,Yes
253,Marin Oaks High,25,CA,CALIFORNIA,627720,Novato Unified,4190,='062772004190',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,29,14,0,0,0,0,0,0,2,5,11,8,0,2,42,29,2,2,10,10,Yes,2,2,0,0,0,0,0,0,2,0,11,8,0,0,15,10,0,2,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='062772004190',Yes,627720.0,Novato Unified,4190.0,Marin Oaks High,Alternative Education School,4.0,3,No,9,12,Marin County,21,38.09779,-122.576171,Yes
255,Greenville Senior High School,24,MI,MICHIGAN,2617160,Greenville Public Schools,5395,='261716005395',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,20,23,2,2,8,5,0,2,8,8,599,542,0,0,637,582,14,11,106,64,Yes,0,0,0,0,0,2,0,0,0,0,11,11,0,0,11,13,0,0,0,0,Yes,0,0,0,0,0,0,0,0,0,0,35,32,0,0,35,32,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='261716005395',No,2617160.0,Greenville Public Schools,5395.0,Greenville Senior High School,Alternative Education School,4.0,3,No,8,12,Montcalm County,32,43.182109,-85.27189399999997,Yes
256,BEACON,24,MN,MINNESOTA,2705790,BLOOMINGTON PUBLIC SCHOOL DISTRICT,3518,='270579003518',No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,-9,No,No,No,Yes,5,8,0,0,0,0,0,0,5,5,8,2,0,0,18,15,0,0,0,0,Yes,2,5,0,0,0,0,0,0,5,2,8,2,0,0,15,9,0,0,2,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='270579003518',No,2705790.0,BLOOMINGTON PUBLIC SCHOOL DISTRICT,3518.0,BEACON,Alternative Education School,4.0,3,No,9,12,Hennepin County,13,44.827941,-93.276789,Yes
257,Peet Junior High School,24,IA,IOWA,1906510,Cedar Falls Comm School District,229,='190651000229',No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,-9,No,No,No,No,11,11,2,2,11,8,0,0,8,14,245,227,14,23,291,285,2,5,34,28,Yes,0,0,0,0,2,0,0,0,0,0,17,5,0,0,19,5,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='190651000229',No,1906510.0,Cedar Falls Comm School District,229.0,Peet Junior High School,Regular School,1.0,2,No,7,9,Black Hawk County,13,42.51491,-92.439429,No
258,ONEIDA-HERKIMER-MADISON BOCES,24,NY,NEW YORK,3680560,ONEIDA-HERKIMER-MADISON BOCES,4644,='368056004644',No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,Yes,No,No,Yes,23,11,0,0,5,2,0,0,68,32,251,92,5,0,352,137,2,2,238,85,Yes,2,2,0,0,0,0,0,0,2,2,14,2,0,0,18,6,0,0,5,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='368056004644',No,3680560.0,ONEIDA-HERKIMER-MADISON BOCES,4644.0,ONEIDA-HERKIMER-MADISON BOCES,Special Education School,2.0,4,No,KG,12,Oneida County,22,43.093741,-75.325665,Yes
259,University High School,24,IL,ILLINOIS,1700099,ISU  Laboratory Schools,4506,='170009904506',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,20,23,2,0,17,14,0,2,20,26,224,230,17,14,300,309,0,0,0,0,Yes,2,2,0,0,2,2,0,0,0,0,5,11,0,0,9,15,0,0,0,0,Yes,8,8,0,0,11,5,0,0,5,5,68,77,5,5,97,100,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='170009904506',No,1700099.0,ISU  Laboratory Schools,4506.0,University High School,Alternative Education School,4.0,3,No,9,12,McLean County,22,40.516082,-88.995154,Yes
260,Kent Mountain View Academy,23,WA,WASHINGTON,5303960,Kent School District,2569,='530396002569',No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,Yes,14,23,0,2,11,20,2,2,8,5,47,44,11,11,93,107,0,2,16,10,Yes,2,2,0,0,2,2,0,0,0,0,5,8,0,2,9,14,0,0,2,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='530396002569',Yes,5303960.0,Kent School District,2569.0,Kent Mountain View Academy,Alternative Education School,4.0,4,Missing,KG,12,King County,21,47.400114,-122.287853,Yes
261,Legacy High School,23,WA,WASHINGTON,5303930,Kennewick School District,3258,='530393003258',No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,59,38,0,0,0,0,0,0,2,2,74,62,2,2,137,104,5,2,16,7,Yes,2,2,0,0,0,0,0,0,0,0,8,11,0,0,10,13,0,0,2,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='530393003258',Yes,5303930.0,Kennewick School District,3258.0,Legacy High School,Alternative Education School,4.0,4,Missing,6,12,Benton County,13,46.206429,-119.124192,Yes
262,Thompson High School,23,AL,ALABAMA,100190,Alabaster City,1183,='010019001183',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,146,116,0,5,11,11,0,2,191,203,587,584,11,8,946,929,23,17,142,79,Yes,0,0,0,0,0,0,0,0,2,5,5,11,0,0,7,16,0,0,0,0,Yes,14,20,0,2,5,5,0,0,23,32,89,71,2,2,133,132,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='010019001183',-9,100190.0,Alabaster City,1183.0,Thompson High School,Regular School,1.0,3,Yes,9,12,Shelby County,21,33.222348,-86.831659,Yes
263,Tennessee Online Public School,23,TN,TENNESSEE,4700360,Bristol,2308,='470036002308',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,2,2,2,0,2,2,2,0,11,8,62,113,0,0,81,125,0,2,4,4,Yes,0,0,0,0,0,0,0,0,2,2,5,14,0,0,7,16,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='470036002308',No,4700360.0,Bristol,2308.0,Tennessee Online Public School,Regular School,1.0,3,Yes,9,12,Sullivan County,13,36.588689,-82.182013,Yes
