SCH_NAME_ST_NUM,COMBOKEY,LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,JJ,SCH_GRADE_PS,SCH_GRADE_KG,SCH_GRADE_G01,SCH_GRADE_G02,SCH_GRADE_G03,SCH_GRADE_G04,SCH_GRADE_G05,SCH_GRADE_G06,SCH_GRADE_G07,SCH_GRADE_G08,SCH_GRADE_G09,SCH_GRADE_G10,SCH_GRADE_G11,SCH_GRADE_G12,SCH_GRADE_UG,SCH_UGDETAIL_HS,SCH_STATUS_SPED,SCH_STATUS_MAGNET,SCH_STATUS_CHARTER,SCH_STATUS_ALT,SCH_ENR_HI_M,SCH_ENR_HI_F,SCH_ENR_AM_M,SCH_ENR_AM_F,SCH_ENR_AS_M,SCH_ENR_AS_F,SCH_ENR_HP_M,SCH_ENR_HP_F,SCH_ENR_BL_M,SCH_ENR_BL_F,SCH_ENR_WH_M,SCH_ENR_WH_F,SCH_ENR_TR_M,SCH_ENR_TR_F,TOT_ENR_M,TOT_ENR_F,SCH_ENR_LEP_M,SCH_ENR_LEP_F,SCH_ENR_IDEA_M,SCH_ENR_IDEA_F,SCH_DUAL_IND,SCH_DUALENR_HI_M,SCH_DUALENR_HI_F,SCH_DUALENR_AM_M,SCH_DUALENR_AM_F,SCH_DUALENR_AS_M,SCH_DUALENR_AS_F,SCH_DUALENR_HP_M,SCH_DUALENR_HP_F,SCH_DUALENR_BL_M,SCH_DUALENR_BL_F,SCH_DUALENR_WH_M,SCH_DUALENR_WH_F,SCH_DUALENR_TR_M,SCH_DUALENR_TR_F,TOT_DUALENR_M,TOT_DUALENR_F,SCH_DUALENR_LEP_M,SCH_DUALENR_LEP_F,SCH_DUALENR_IDEA_M,SCH_DUALENR_IDEA_F,SCH_APENR_IND,SCH_APENR_HI_M,SCH_APENR_HI_F,SCH_APENR_AM_M,SCH_APENR_AM_F,SCH_APENR_AS_M,SCH_APENR_AS_F,SCH_APENR_HP_M,SCH_APENR_HP_F,SCH_APENR_BL_M,SCH_APENR_BL_F,SCH_APENR_WH_M,SCH_APENR_WH_F,SCH_APENR_TR_M,SCH_APENR_TR_F,TOT_APENR_M,TOT_APENR_F,SCH_APENR_LEP_M,SCH_APENR_LEP_F,SCH_APENR_IDEA_M,SCH_APENR_IDEA_F,SCH_IBENR_IND,SCH_IBENR_HI_M,SCH_IBENR_HI_F,SCH_IBENR_AM_M,SCH_IBENR_AM_F,SCH_IBENR_AS_M,SCH_IBENR_AS_F,SCH_IBENR_HP_M,SCH_IBENR_HP_F,SCH_IBENR_BL_M,SCH_IBENR_BL_F,SCH_IBENR_WH_M,SCH_IBENR_WH_F,SCH_IBENR_TR_M,SCH_IBENR_TR_F,TOT_IBENR_M,TOT_IBENR_F,SCH_IBENR_LEP_M,SCH_IBENR_LEP_F,SCH_IBENR_IDEA_M,SCH_IBENR_IDEA_F,TITLEI,STABR,SCH_TYPE_TEXT,SCH_TYPE,LEVEL,VIRTUAL,GSLO,GSHI,NMCNTY15,LOCALE15,LAT1516,LON1516,Low_Grade_Above9,High_Grade_12,combokey,TITLEI_,LEAID_,LEA_NAME_,STABR_,SCHID_,SCH_NAME_,SCH_TYPE_TEXT_,SCH_TYPE_,LEVEL_,VIRTUAL_,GSLO_,GSHI_,NMCNTY15_,LOCALE15_,LAT1516_,LON1516_
colonial academyPA,='428930099997',PA,PENNSYLVANIA,4289300,Colonial IU 20,99997,colonial academy,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,35,14,0,0,2,0,0,2,53,17,95,14,5,2,190,49,2,0,151,37,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,UG-Yes,Yes,,,,,,,,,,,,,,,,,
community based transition academyCT,='090522001872',CT,CONNECTICUT,905220,WINDSOR SCHOOL DISTRICT,1872,community based transition academy,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,-9,No,No,No,No,0,2,0,0,0,0,0,0,5,2,2,0,0,0,7,4,0,0,7,-2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
constellation schools parma community middle/highOH,='390006899997',OH,OHIO,3900068,Constellation Schools: Parma Community,99997,constellation schools parma community middle/high,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,50,50,0,2,8,5,2,0,8,11,248,308,17,11,333,387,11,8,37,25,Yes,2,2,0,0,0,0,0,0,0,0,8,23,2,2,12,27,0,0,2,2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
core butte charter schoolCA,='069900899999',CA,CALIFORNIA,699008,CORE Butte Charter School,99999,core butte charter school,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,44,59,2,2,2,5,0,0,2,5,233,275,29,35,312,381,2,2,55,37,Yes,2,5,2,0,0,0,0,0,0,0,14,29,2,2,20,36,0,0,2,2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
corrales international school charter schoolNM,='359904099999',NM,NEW MEXICO,3599040,Corrales International School Charter School,99999,corrales international school charter school,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,50,50,0,2,5,8,0,0,8,8,50,77,0,0,113,145,11,17,10,4,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
cortlandt v.r. creed health and sports sciences high schoolCT,='090279099998',CT,CONNECTICUT,902790,NEW HAVEN SCHOOL DISTRICT,99998,cortlandt v.r. creed health and sports sciences high school,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,Yes,No,No,29,23,0,0,2,0,0,0,86,32,11,5,0,2,128,62,8,5,22,7,Yes,2,2,0,0,0,0,0,0,11,5,0,0,0,0,13,7,2,0,2,0,Yes,5,2,0,0,0,0,0,0,14,8,5,2,0,0,24,12,0,0,0,0,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
crossroads learning centerKS,='200774001498',KS,KANSAS,2007740,Iola,1498,crossroads learning center,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,2,0,0,2,0,0,0,0,0,0,17,14,2,0,21,16,0,0,-2,-2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,UG-Yes,Yes,,,,,,,,,,,,,,,,,
davis adult educationCA,='061062013324',CA,CALIFORNIA,610620,Davis Joint Unified,13324,davis adult education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,-9,No,No,No,No,23,32,0,0,2,0,2,2,2,5,8,5,0,0,37,44,5,17,-2,-2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
deaf and hard of hearing programNY,='368058099986',NY,NEW YORK,3680580,ONONDAGA-CORTLAND-MADISON BOCES,99986,deaf and hard of hearing program,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,2,0,0,0,0,0,0,0,5,2,23,20,0,0,30,22,0,0,-2,-2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,UG-Yes,Yes,,,,,,,,,,,,,,,,,
diego hills charter schoolCA,='069901399999',CA,CALIFORNIA,699013,Diego Hills Charter School,99999,diego hills charter school,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,314,332,2,5,26,17,2,2,56,56,95,56,44,32,539,500,86,80,88,52,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,UG-Yes,Yes,,,,,,,,,,,,,,,,,
digital arts and technology academy charter schoolNM,='359904399999',NM,NEW MEXICO,3599043,Digital Arts and Technology Academy Charter School,99999,digital arts and technology academy charter school,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,98,95,5,5,0,0,0,0,2,5,56,26,8,2,169,133,11,17,31,10,Yes,86,44,2,0,0,0,0,0,2,2,41,5,0,0,131,51,11,11,8,5,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
discovery charter preparatory no. 2CA,='06CC15500001',CA,CALIFORNIA,06CC155,DISCOVERY CHARTER PREPARATORY #2,1,discovery charter preparatory no. 2,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,125,134,0,0,0,0,0,0,0,0,0,0,0,0,125,134,35,23,25,10,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,11,41,0,0,0,0,0,0,0,0,0,0,0,0,11,41,0,2,2,0,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
district autism programCT,='090453001889',CT,CONNECTICUT,904530,THOMPSON SCHOOL DISTRICT,1889,district autism program,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,-9,No,No,No,No,0,0,0,0,0,0,0,0,0,0,5,2,0,0,5,2,0,0,-2,-2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,No,,,,,,,,,,,,,,,,,
dodge achievement centerGA,='130177003787',GA,GEORGIA,1301770,Dodge County,3787,dodge achievement center,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,2,0,0,0,0,0,0,2,11,8,11,5,0,0,24,15,0,0,10,-2,Yes,2,0,0,0,0,0,0,2,5,5,11,5,0,0,18,12,0,0,5,2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,UG-Yes,Yes,,,,,,,,,,,,,,,,,
don tyson school of innovationAR,='051266099999',AR,ARKANSAS,512660,SPRINGDALE SCHOOL DISTRICT,99999,don tyson school of innovation,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,-9,No,No,Yes,No,71,68,2,2,5,2,8,11,2,5,95,89,8,2,191,179,35,38,10,4,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,No,,,,,,,,,,,,,,,,,
dona ana jdcNM,='350150000319',NM,NEW MEXICO,3501500,LAS CRUCES PUBLIC SCHOOLS,319,dona ana jdc,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,14,2,0,0,0,0,0,0,2,0,2,2,2,0,20,4,2,0,10,-2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
douglas county adult schoolNV,='320009000861',NV,NEVADA,3200090,DOUGLAS COUNTY SCHOOL DISTRICT,861,douglas county adult school,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,2,2,0,0,0,0,0,0,0,0,5,2,0,2,7,6,0,0,-2,-2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,UG-Yes,No,,,,,,,,,,,,,,,,,
downtown college prep high schoolCA,='06CC25499998',CA,CALIFORNIA,06CC254,DOWNTOWN COLLEGE PREPARATORY,99998,downtown college prep high school,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,143,170,2,0,2,2,0,0,2,2,2,2,5,2,156,178,20,26,22,16,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,26,38,0,0,2,2,0,0,2,0,2,2,2,0,34,42,2,0,2,2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
dunseith community alternative learning serviceND,='380546099999',ND,NORTH DAKOTA,3805460,DUNSEITH 1,99999,dunseith community alternative learning service,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,-9,No,No,No,No,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,-2,-2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
early county alternative schoolGA,='130192002713',GA,GEORGIA,1301920,Early County,2713,early county alternative school,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,0,0,0,0,0,0,0,0,29,8,5,2,32,8,66,18,0,0,10,-2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
east mtn high schoolNM,='350013200808',NM,NEW MEXICO,3500132,EAST MTN HIGH SCHOOL,808,east mtn high school,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,38,47,5,5,5,11,0,0,2,2,110,137,0,2,160,204,2,2,25,10,Yes,23,29,5,2,2,8,0,0,2,2,62,89,0,0,94,130,0,0,5,5,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
east windsor transition programCT,='090135001855',CT,CONNECTICUT,901350,EAST WINDSOR SCHOOL DISTRICT,1855,east windsor transition program,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,-9,No,No,No,No,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,4,0,0,-2,4,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
educational opportunity center crossroads alternative schooGA,='130270002730',GA,GEORGIA,1302700,Harris County,2730,educational opportunity center crossroads alternative schoo,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,2,0,0,0,0,0,0,0,8,5,17,5,0,0,27,10,0,0,-2,-2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
edward m kennedy academy for health careersMA,='250279099997',MA,MASSACHUSETTS,2502790,Boston,99997,edward m kennedy academy for health careers,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,Yes,No,No,53,104,0,2,5,8,0,0,50,101,5,11,2,5,115,231,14,32,25,31,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,8,29,0,0,0,2,0,0,11,32,2,2,0,2,21,67,2,2,2,2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
eldora state training school for boysIA,='199908899999',IA,IOWA,1999088,Eldora State Training School for Boys,99999,eldora state training school for boys,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,26,0,2,0,0,0,0,0,83,0,128,0,2,0,241,0,0,0,130,-2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,UG-Yes,Yes,,,,,,,,,,,,,,,,,
encore high school for the artsCA,='069996799999',CA,CALIFORNIA,699967,Encore High School for the Arts,99999,encore high school for the arts,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,-9,No,No,Yes,No,38,110,2,2,2,11,0,2,14,65,32,128,2,5,90,323,0,2,13,16,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,No,,,,,,,,,,,,,,,,,
envision academy of arts and technologyCA,='06CC28599999',CA,CALIFORNIA,06CC285,ENVISION ACADEMY FOR ARTS & TECHNOLOGY,99999,envision academy of arts and technology,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,95,113,2,2,2,5,2,2,71,89,14,2,5,2,191,215,23,14,25,16,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,41,44,2,2,2,2,0,0,26,41,8,2,2,2,81,93,8,2,11,2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
eppCO,='080192099998',CO,COLORADO,801920,Academy School District 20,99998,epp,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,2,0,0,0,0,0,0,0,2,0,17,8,2,2,23,10,0,0,4,-2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
equality charter high schoolNY,='360100599999',NY,NEW YORK,3601005,EQUALITY CHARTER SCHOOL,99999,equality charter high school,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-9,No,No,Yes,No,65,53,0,0,2,2,2,0,203,203,0,2,2,2,274,262,0,2,64,58,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,No,,,,,,,,,,,,,,,,,
erie 2-chautauqua-cattaraugus boces @ iroquoisNY,='368032099990',NY,NEW YORK,3680320,ERIE 2-CHAUTAUQUA-CATTARAUGUS BOCES,99990,erie 2-chautauqua-cattaraugus boces @ iroquois,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,8,8,0,0,8,8,0,0,7,7,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,UG-No,Yes,,,,,,,,,,,,,,,,,
